<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>,<OI>
CC_HNX-INDEX,20200618,17091,376436651300,53224434900,13898,83205500,99097100
CC_VNINDEX,20200617,147477,3594101000000,633219287400,133537,538633330,734039890
CC_HNX-INDEX,20200617,0,504750671900,7247909200,0,0,0
CC_VNINDEX,20200616,162695,4216692000000,1211928667120,150181,704304190,701657390
CC_HNX-INDEX,20200616,17547,580678850400,18657585800,16058,110496700,101273300
CC_VNINDEX,20200615,225646,6348525000000,16254364423200,164912,870809470,859601620
CC_HNX-INDEX,20200615,22298,763232863800,64448031200,16785,119528900,122735500
CC_VNINDEX,20200612,275746,6873169090000,758283427600,188414,1143040560,1006033000
CC_HNX-INDEX,20200612,22782,723751540400,27531043600,17065,137077700,114530900
CC_VNINDEX,20200611,275904,8828261000000,931549543600,213364,1014447480,1160084700
CC_HNX-INDEX,20200611,26365,1160630372600,55534099900,24286,143366800,171560200
CC_VNINDEX,20200610,253396,6350382440000,566363198150,174031,1097974790,842366270
CC_HNX-INDEX,20200610,21557,746257320400,32679262900,19287,125798500,113574800
CC_VNINDEX,20200609,252947,6215092000000,724971093800,195201,982720760,907301580
CC_HNX-INDEX,20200609,22757,726546577500,90485129300,20611,119137400,129801600
CC_VNINDEX,20200608,241176,7189384000000,914487178300,193694,968917440,768735170
CC_HNX-INDEX,20200608,24128,1006959770700,70925357400,23574,153919800,141820000
CC_VNINDEX,20200605,206893,5179735000000,632309853760,157721,895381450,725256790
CC_HNX-INDEX,20200605,19962,721127276800,43136829900,18761,116254000,107478500
CC_VNINDEX,20200604,192562,5387151880000,1035317425850,163475,769851870,699273530
CC_HNX-INDEX,20200604,19637,682544489600,284497267600,19460,105624900,114705000
CC_VNINDEX,20200603,160094,4295391000000,366424002900,138107,663105970,605559540
CC_HNX-INDEX,20200603,17713,623315916200,46844023700,18324,99240900,104965200
CC_VNINDEX,20200602,210911,6022272000000,809450312190,186963,844958230,884281340
CC_HNX-INDEX,20200602,21168,877535529500,38199252700,20706,111373900,133126200
CC_VNINDEX,20200601,176774,5100485000000,1511344921000,153833,838279780,672683460
CC_HNX-INDEX,20200601,20291,820527738700,117096301100,18726,121853600,107042300
CC_VNINDEX,20200529,167015,4177544350000,490397427800,120933,566838510,505864910
CC_HNX-INDEX,20200529,16115,425133224400,97040690600,14265,102955800,87514900
CC_VNINDEX,20200528,162593,4481052000000,2700942695500,132326,516276950,520437540
CC_HNX-INDEX,20200528,15278,456028295600,24737284900,15117,75615800,88487200
CC_VNINDEX,20200527,202134,5960914060000,593772685100,178228,578446550,697324940
CC_HNX-INDEX,20200527,0,671320249500,63807424400,0,0,0
CC_VNINDEX,20200526,182136,4963642000000,460482337400,158924,564257240,585852560
CC_HNX-INDEX,20200526,19991,692240825300,63072133900,20381,101865400,108136600
CC_VNINDEX,20200525,168772,4438593100000,1228276513090,143602,500853850,512890410
CC_HNX-INDEX,20200525,16311,513908284900,65289786600,15691,90416300,79067800
CC_VNINDEX,20200522,172470,4473366590000,556848424090,142815,502590220,590291070
CC_HNX-INDEX,20200522,20911,703080733100,60971043900,17456,115843900,117535000
CC_VNINDEX,20200521,164349,4813745310000,529075765550,153069,551334780,601838590
CC_HNX-INDEX,20200521,18142,754842655200,99593586700,18016,117917600,123683400
CC_VNINDEX,20200520,146791,3895150860000,361248590200,131787,480526590,459677710
CC_HNX-INDEX,20200520,15408,395952116500,71137933320,15917,84271800,117428000
CC_VNINDEX,20200519,164024,5322838070000,2599914883100,165465,493032640,588692930
CC_HNX-INDEX,20200519,17121,567620485400,55177514000,16207,99623400,110096200
CC_VNINDEX,20200518,154969,3827200380000,504240212900,120819,453781050,410084670
CC_HNX-INDEX,20200518,16461,444492027500,47858019200,14777,97319800,98867100
CC_VNINDEX,20200515,176056,4220221000000,703626661050,141068,449891920,534179680
CC_HNX-INDEX,20200515,20053,592633553200,41525516900,17413,154308600,123015100
CC_VNINDEX,20200514,190063,4501430270000,2835793655900,136260,524921870,537581370
CC_HNX-INDEX,20200514,17466,449899755600,25826347600,14292,117756000,88131700
CC_VNINDEX,20200513,227778,5685724000000,846040026760,152342,631035690,621584310
CC_HNX-INDEX,20200513,17784,509672239700,162850998700,16250,110023100,98328400
CC_VNINDEX,20200512,201090,5018923000000,635935043600,148743,545089390,528658320
CC_HNX-INDEX,20200512,17739,488077574700,55450899540,15015,111190500,86522800
CC_VNINDEX,20200511,170592,4472372000000,1638983610050,144638,518350060,482259240
CC_HNX-INDEX,20200511,15679,459707153000,23221427500,14853,105117400,85958000
CC_VNINDEX,20200508,179758,6274440880000,672193589050,195999,540392400,623884990
CC_HNX-INDEX,20200508,17696,544818404000,21275023700,16789,100379400,107156500
CC_VNINDEX,20200507,142538,3602973000000,704917947700,131101,386343260,417332660
CC_HNX-INDEX,20200507,14430,360140680500,115163669600,13811,92535300,72617300
CC_VNINDEX,20200506,143177,3429446950000,2878541911900,127251,400156030,382395290
CC_HNX-INDEX,20200506,15337,400182445700,16937663400,14174,80044200,94743600
CC_VNINDEX,20200505,125324,2467425760000,892623568500,97850,340144610,318958360
CC_HNX-INDEX,20200505,11802,246453502600,31768693900,11493,56786400,71416700
CC_HNX-INDEX,20200504,11996,296233157100,20217698200,12181,62229400,89035600
CC_VNINDEX,20200429,148255,3297116000000,849395626200,113710,409786450,411490040
CC_HNX-INDEX,20200429,14491,331134985400,34149392400,12358,111989800,77133400
CC_VNINDEX,20200428,149707,3150783000000,419773400600,111545,383435020,410983540
CC_HNX-INDEX,20200428,14699,290286913700,18264150000,12631,88742700,75981700
CC_VNINDEX,20200427,163964,3766811330000,863867368100,120548,476927400,474614960
CC_HNX-INDEX,20200427,0,307323878900,66186525000,0,0,0
CC_VNINDEX,20200424,151605,3191464000000,582034696000,110023,457285820,414565100
CC_HNX-INDEX,20200424,14757,303877238000,4292463700,12873,86654800,76786000
CC_VNINDEX,20200423,137324,2904843000000,281555490700,108983,390411180,386718600
CC_HNX-INDEX,20200423,16407,366105521300,157291626500,14125,80918800,86759700
CC_VNINDEX,20200422,170705,3408741000000,610337056050,108282,505887880,377195190
CC_HNX-INDEX,20200422,17603,418597778800,64635920500,12544,87872400,75910800
CC_VNINDEX,20200421,212871,5108079000000,796127770980,150225,583026310,648893650
CC_HNX-INDEX,20200421,19258,662214682600,68560288000,16141,100403700,108790200
CC_VNINDEX,20200420,190523,4353464860000,607552409760,131565,555475700,524891370
CC_HNX-INDEX,20200420,23765,625932201800,69011834100,18164,118991300,95317200
CC_VNINDEX,20200417,168911,4188762900000,989262122500,133773,533116060,505867230
CC_HNX-INDEX,20200417,16363,546631667800,11355589900,14918,98362600,85598100
CC_VNINDEX,20200416,151967,3023449000000,941821124590,109235,461463850,409594160
CC_HNX-INDEX,20200416,14821,394319950200,56703258000,12731,72573200,78710800
CC_VNINDEX,20200415,150694,3365079650000,1209305690300,121994,535128870,476911050
CC_HNX-INDEX,20200415,16600,559077367900,153716259300,14263,84967400,87913400
CC_VNINDEX,20200414,0,3344675000000,623564957100,0,0,0
CC_HNX-INDEX,20200414,14104,479953991900,112751208600,12869,84747700,84014200
CC_VNINDEX,20200413,144516,3052595000000,1167934653200,106633,420804420,368589340
CC_HNX-INDEX,20200413,13960,382692933600,101813078900,11460,79219300,65180700
CC_VNINDEX,20200410,162277,3257547000000,802418419800,105529,560662330,515951410
CC_HNX-INDEX,20200410,15355,457012487400,18393788400,12886,85690400,88846000
CC_VNINDEX,20200409,153845,3720286000000,609668431150,111701,528542720,461222010
CC_HNX-INDEX,20200409,17653,462720698400,168328966400,14200,83020800,82920100
CC_VNINDEX,20200408,9826,2829304000000,899629775200,5670,22786170,17954690
