<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>,<OI>
NN_HNX-INDEX,20210616,84320,174294882,9725338,205270,1760553000,2226181000
NN_HNX-INDEX,20210615,84320,152977522,72630038,205270,1760553000,2226181000
NN_VNINDEX,20210615,84320,694197500,0,205270,1760553000,2226181000
NN_VNINDEX,20210614,84320,704021300,45053637,205270,1760553000,2226181000
NN_HNX-INDEX,20210614,84320,165179098,1059092,205270,1760553000,2226181000
NN_VNINDEX,20210611,84320,694619900,20510058,205270,1760553000,2226181000
NN_HNX-INDEX,20210611,84320,149963101,16480756,205270,1760553000,2226181000
NN_VNINDEX,20210610,84320,665592200,43102212,205270,1760553000,2226181000
NN_HNX-INDEX,20210610,84320,142409663,6769340,205270,1760553000,2226181000
NN_VNINDEX,20210609,84320,750693000,42476993,205270,1760553000,2226181000
NN_HNX-INDEX,20210609,84320,150540758,1221443,205270,1760553000,2226181000
NN_VNINDEX,20210608,84320,857967000,41310700,205270,1760553000,2226181000
NN_HNX-INDEX,20210608,84320,222240015,15623825,205270,1760553000,2226181000
NN_VNINDEX,20210607,84320,826169700,30998235,205270,1760553000,2226181000
NN_HNX-INDEX,20210607,84320,224180487,3386551,205270,1760553000,2226181000
NN_VNINDEX,20210604,84320,872452800,47428149,205270,1760553000,2226181000
NN_HNX-INDEX,20210604,84320,203077261,5971983,205270,1760553000,2226181000
NN_VNINDEX,20210603,84320,841507900,40178702,205270,1760553000,2226181000
NN_HNX-INDEX,20210603,84320,222911965,6091795,205270,1760553000,2226181000
NN_VNINDEX,20210602,84320,740763400,416580520,205270,1760553000,2226181000
NN_HNX-INDEX,20210602,84320,177534911,4854745,205270,1760553000,2226181000
NN_VNINDEX,20210601,84320,584817500,27964403,205270,1760553000,2226181000
NN_HNX-INDEX,20210601,84320,201121773,20326972,205270,1760553000,2226181000
NN_VNINDEX,20210531,84320,685028300,30598399,205270,1760553000,2226181000
NN_HNX-INDEX,20210531,84320,186255348,2305975,205270,1760553000,2226181000
NN_VNINDEX,20210528,84320,702181700,42450944,205270,1760553000,2226181000
NN_HNX-INDEX,20210528,84320,168347721,3048589,205270,1760553000,2226181000
NN_VNINDEX,20210527,84320,665777400,43203732,205270,1760553000,2226181000
NN_HNX-INDEX,20210527,84320,137922162,15659582,205270,1760553000,2226181000
NN_VNINDEX,20210526,84320,659595400,33127930,205270,1760553000,2226181000
NN_HNX-INDEX,20210526,84320,135927932,2866996,205270,1760553000,2226181000
NN_VNINDEX,20210525,84320,616066700,34443742,205270,1760553000,2226181000
NN_HNX-INDEX,20210525,84320,116158832,14911851,205270,1760553000,2226181000
NN_VNINDEX,20210524,84320,640625700,31258770,205270,1760553000,2226181000
NN_HNX-INDEX,20210524,84320,106821422,4059269,205270,1760553000,2226181000
NN_VNINDEX,20210521,84320,625629100,42425945,205270,1760553000,2226181000
NN_HNX-INDEX,20210521,84320,133068895,9402788,205270,1760553000,2226181000
NN_VNINDEX,20210520,84320,680615500,33586474,205270,1760553000,2226181000
NN_HNX-INDEX,20210520,84320,124981587,3985304,205270,1760553000,2226181000
NN_VNINDEX,20210519,84320,623892200,41760849,205270,1760553000,2226181000
NN_HNX-INDEX,20210519,84320,127072659,3763794,205270,1760553000,2226181000
NN_VNINDEX,20210518,84320,634400100,27794435,205270,1760553000,2226181000
NN_HNX-INDEX,20210518,84320,119029185,4199966,205270,1760553000,2226181000
NN_VNINDEX,20210517,84320,672713200,49744736,205270,1760553000,2226181000
NN_HNX-INDEX,20210517,84320,128831173,67025183,205270,1760553000,2226181000
NN_VNINDEX,20210514,84320,646009100,50170443,205270,1760553000,2226181000
NN_HNX-INDEX,20210514,84320,139312343,21925338,205270,1760553000,2226181000
NN_VNINDEX,20210513,84320,652466800,27692226,205270,1760553000,2226181000
NN_HNX-INDEX,20210513,84320,118866406,8820232,205270,1760553000,2226181000
NN_VNINDEX,20210512,84320,633464200,32302353,205270,1760553000,2226181000
NN_HNX-INDEX,20210512,84320,88940900,3416062,205270,1760553000,2226181000
NN_VNINDEX,20210511,84320,675426300,57392341,205270,1760553000,2226181000
NN_HNX-INDEX,20210511,84320,110156837,2031732,205270,1760553000,2226181000
NN_VNINDEX,20210510,84320,697146500,37591120,205270,1760553000,2226181000
NN_HNX-INDEX,20210510,84320,109923189,5987086,205270,1760553000,2226181000
NN_VNINDEX,20210507,84320,714688200,27937752,205270,1760553000,2226181000
NN_HNX-INDEX,20210507,84320,114839125,7474105,205270,1760553000,2226181000
NN_VNINDEX,20210506,84320,641117500,51174446,205270,1760553000,2226181000
NN_HNX-INDEX,20210506,84320,112032968,3060458,205270,1760553000,2226181000
NN_VNINDEX,20210505,84320,654569700,56441436,205270,1760553000,2226181000
NN_HNX-INDEX,20210505,84320,115064476,19779177,205270,1760553000,2226181000
NN_VNINDEX,20210504,84320,685755900,81316065,205270,1760553000,2226181000
NN_HNX-INDEX,20210504,84320,100597636,1845558,205270,1760553000,2226181000
NN_VNINDEX,20210429,84320,590035400,29113630,205270,1760553000,2226181000
NN_HNX-INDEX,20210429,84320,85159764,36258481,205270,1760553000,2226181000
NN_VNINDEX,20210428,84320,565094300,15934753,205270,1760553000,2226181000
NN_HNX-INDEX,20210428,84320,85772532,11154193,205270,1760553000,2226181000
NN_VNINDEX,20210427,84320,521704000,67062909,205270,1760553000,2226181000
NN_HNX-INDEX,20210427,84320,100361765,2050108,205270,1760553000,2226181000
NN_VNINDEX,20210426,84320,658568800,39776746,205270,1760553000,2226181000
NN_HNX-INDEX,20210426,84320,127927049,13899800,205270,1760553000,2226181000
NN_VNINDEX,20210423,84320,650003400,25534310,205270,1760553000,2226181000
NN_HNX-INDEX,20210423,84320,137591146,1306616,205270,1760553000,2226181000
NN_VNINDEX,20210422,84320,698613300,30306627,205270,1760553000,2226181000
NN_HNX-INDEX,20210422,84320,168423134,12034460,205270,1760553000,2226181000
NN_VNINDEX,20210420,84320,744607400,39865100,205270,1760553000,2226181000
NN_HNX-INDEX,20210420,84320,155994338,4429623,205270,1760553000,2226181000
NN_VNINDEX,20210419,84320,739537900,40935355,205270,1760553000,2226181000
NN_HNX-INDEX,20210419,84320,151356123,7410212,205270,1760553000,2226181000
NN_VNINDEX,20210416,84320,917754200,32651537,205270,1760553000,2226181000
NN_HNX-INDEX,20210416,84320,218553575,6476392,205270,1760553000,2226181000
NN_VNINDEX,20210415,84320,738699000,25180026,205270,1760553000,2226181000
NN_HNX-INDEX,20210415,84320,157389076,14651605,205270,1760553000,2226181000
NN_VNINDEX,20210414,84320,786635900,33657084,205270,1760553000,2226181000
NN_HNX-INDEX,20210414,84320,155331024,11723950,205270,1760553000,2226181000
NN_VNINDEX,20210413,84320,948996600,46348113,205270,1760553000,2226181000
NN_HNX-INDEX,20210413,84320,227435372,5149938,205270,1760553000,2226181000
NN_VNINDEX,20210412,84320,828755200,26599003,205270,1760553000,2226181000
NN_HNX-INDEX,20210412,84320,183188830,8586328,205270,1760553000,2226181000
NN_VNINDEX,20210409,84320,637649300,71805160,205270,1760553000,2226181000
NN_HNX-INDEX,20210409,84320,160773693,3721061,205270,1760553000,2226181000
NN_VNINDEX,20210408,84320,617181800,26709249,205270,1760553000,2226181000
NN_HNX-INDEX,20210408,84320,178358127,4940734,205270,1760553000,2226181000
NN_VNINDEX,20210407,84320,657493400,44216870,205270,1760553000,2226181000
NN_HNX-INDEX,20210407,84320,157636222,6335524,205270,1760553000,2226181000
NN_VNINDEX,20210406,84320,635565900,34837679,205270,1760553000,2226181000
NN_HNX-INDEX,20210406,84320,189576119,8457897,205270,1760553000,2226181000
NN_HNX-INDEX,20210405,84320,149004209,5470675,205270,1760553000,2226181000
NN_VNINDEX,20210402,84320,588762600,49198295,205270,1760553000,2226181000
NN_HNX-INDEX,20210402,84320,178006432,3919961,205270,1760553000,2226181000
NN_VNINDEX,20210401,84320,616140600,33047480,205270,1760553000,2226181000
NN_HNX-INDEX,20210401,84320,187336986,3272002,205270,1760553000,2226181000
NN_VNINDEX,20210331,84320,651568100,29476685,205270,1760553000,2226181000
NN_HNX-INDEX,20210331,84320,210779964,3235488,205270,1760553000,2226181000
NN_VNINDEX,20210330,84320,681706500,69700690,205270,1760553000,2226181000
NN_HNX-INDEX,20210330,84320,160783444,8399570,205270,1760553000,2226181000
NN_VNINDEX,20210329,84320,575362200,58324945,205270,1760553000,2226181000
NN_HNX-INDEX,20210329,84320,170220537,7999342,205270,1760553000,2226181000
NN_VNINDEX,20210326,84320,611213000,32488753,205270,1760553000,2226181000
NN_HNX-INDEX,20210326,84320,215622952,8800923,205270,1760553000,2226181000
NN_VNINDEX,20210325,84320,591235700,71686680,205270,1760553000,2226181000
NN_HNX-INDEX,20210325,84320,107194292,7635421,205270,1760553000,2226181000
NN_VNINDEX,20210324,84320,631818400,96229005,205270,1760553000,2226181000
NN_HNX-INDEX,20210324,84320,168551684,9816006,205270,1760553000,2226181000
NN_VNINDEX,20210323,84320,624727100,35940893,205270,1760553000,2226181000
NN_HNX-INDEX,20210323,84320,163960658,15920578,205270,1760553000,2226181000
NN_VNINDEX,20210322,84320,607716400,71743966,205270,1760553000,2226181000
NN_HNX-INDEX,20210322,84320,131598669,28959119,205270,1760553000,2226181000
